Employee_Id,checkInDate,check_in,check_out
47,8/16/2023,11:45:46,20:02:24
47,8/17/2023,11:29:54,19:33:12
47,8/18/2023,11:35:43,20:11:45
47,8/19/2023,12:27:51,20:11:51
47,8/21/2023,11:54:31,20:06:42
47,8/22/2023,11:50:43,20:10:32
51,08/01/2023,11:25:01,23:08:52
51,08/02/2023,11:52:48,22:14:10
51,08/03/2023,11:22:10,22:25:43
51,08/04/2023,11:53:08,21:11:05
51,08/05/2023,11:38:09,22:28:39
51,08/07/2023,11:31:21,23:10:30
51,08/08/2023,11:31:01,21:41:37
51,08/09/2023,11:41:16,-
51,08/10/2023,11:41:15,21:59:13
51,08/11/2023,11:42:30,22:04:32
51,08/12/2023,11:32:03,23:30:49
51,8/15/2023,11:23:10,21:52:55
51,8/16/2023,11:36:55,20:59:25
51,8/17/2023,11:36:12,11:26:55
51,8/18/2023,11:27:01,22:17:36
51,8/19/2023,11:20:45,21:16:29
51,8/21/2023,11:32:03,21:32:12
51,8/22/2023,11:55:36,21:54:46
61,08/01/2023,11:21:40,-
61,08/02/2023,-,-
61,08/03/2023,11:15:59,-
61,08/04/2023,11:26:50,20:44:27
61,08/05/2023,11:19:33,20:44:53
61,08/07/2023,11:21:09,-
61,08/08/2023,-,20:44:21
61,08/09/2023,-,-
61,08/10/2023,11:29:05,-
61,08/11/2023,11:29:07,-
61,08/12/2023,11:19:53,21:11:10
61,8/15/2023,11:42:36,20:58:58
61,8/16/2023,11:30:17,-
61,8/17/2023,11:18:22,-
61,8/18/2023,11:35:28,-
61,8/19/2023,11:31:46,-
61,8/21/2023,11:39:41,-
61,8/22/2023,11:22:09,-
63,08/01/2023,11:22:18,23:07:46
63,08/02/2023,11:26:12,22:14:44
63,08/03/2023,11:16:09,22:45:12
63,08/04/2023,11:15:25,21:34:31
63,08/05/2023,11:26:48,22:25:16
63,08/07/2023,11:24:30,23:10:32
63,08/08/2023,11:31:51,21:48:14
63,08/09/2023,11:27:28,22:24:34
63,08/10/2023,11:34:42,21:41:00
63,08/11/2023,11:38:42,22:06:39
63,08/12/2023,11:30:51,23:29:48
63,8/15/2023,11:28:34,21:50:02
63,8/16/2023,11:35:01,21:05:15
63,8/17/2023,11:35:31,20:20:39
63,8/18/2023,11:27:59,21:18:54
63,8/19/2023,11:28:28,20:58:33
63,8/21/2023,11:18:16,21:33:34
63,8/22/2023,11:30:30,21:42:35
70,08/01/2023,12:36:50,21:33:00
70,08/02/2023,11:40:33,21:38:02
70,08/03/2023,11:54:21,21:54:17
70,08/04/2023,12:13:02,21:37:21
70,08/05/2023,11:41:48,22:11:07
70,08/07/2023,11:55:39,21:46:07
70,08/08/2023,11:38:16,21:40:48
70,08/09/2023,12:00:29,21:32:13
70,08/10/2023,11:45:39,21:29:36
70,08/11/2023,11:51:41,21:18:12
70,08/12/2023,11:36:45,22:20:26
70,8/15/2023,11:42:03,21:29:21
70,8/16/2023,11:37:14,21:15:41
70,8/17/2023,11:27:32,21:25:26
70,8/18/2023,11:35:36,21:16:34
70,8/19/2023,11:30:34,21:30:00
70,8/21/2023,12:04:44,21:54:00
70,8/22/2023,10:38:24,21:40:59
71,08/01/2023,11:38:05,21:07:39
71,08/02/2023,11:39:58,-
71,08/03/2023,11:39:43,20:31:25
71,08/04/2023,11:43:45,-
71,08/05/2023,11:35:51,20:20:22
71,08/07/2023,11:44:01,-
71,08/08/2023,11:42:03,20:38:11
71,08/09/2023,11:41:55,20:34:06
71,08/10/2023,11:43:33,19:50:15
71,08/11/2023,-,-
71,08/12/2023,11:44:03,21:26:23
71,8/15/2023,11:40:51,20:30:56
71,8/16/2023,11:37:51,20:33:20
71,8/17/2023,13:24:49,20:30:30
71,8/18/2023,11:40:35,20:34:11
71,8/19/2023,11:38:34,-
71,8/21/2023,11:43:03,20:32:13
71,8/22/2023,11:44:30,20:31:48
75,08/01/2023,-,-
75,08/02/2023,-,-
75,08/03/2023,-,-
75,08/04/2023,11:35:52,20:52:08
75,08/05/2023,11:57:45,20:48:04
75,08/07/2023,12:13:17,21:16:49
75,08/08/2023,12:06:04,21:57:17
75,08/09/2023,11:51:43,20:48:10
75,08/10/2023,12:35:31,21:58:03
75,08/11/2023,13:03:30,20:48:56
75,08/12/2023,11:59:03,21:05:18
75,8/15/2023,11:50:19,21:22:49
75,8/16/2023,11:50:19,21:16:55
75,8/17/2023,12:07:15,21:34:19
75,8/18/2023,11:54:44,21:07:33
75,8/19/2023,11:46:36,-
75,8/21/2023,12:17:44,22:25:10
75,8/22/2023,11:52:18,21:19:25
76,08/01/2023,-,-
76,08/02/2023,-,-
